idEstado,idHVInfoAdicional,idHojaVida,strInfoAdicional,strTengoInfoAdicional,strUsuario,fecha_registro
1,132649,135685,"1.AUTOR DEL LIBRO ""NUESTRO PROPIO CAMINO"".
2.TRABAJÉ COMO SECRETARIO GENERAL DE LA PRESIDENCIA DEL CONSEJO DE MINISTROS EN LA PCM 
3.TRABAJÉ COMO LÍDER DE PRÁCTICA DEL SECTOR PÚBLICO EN EL DELOITTE Y TOUCHE S.R.L.
4.TRABAJÉ EN LA DIRECCIÓN ACADÉMICA DE LAS CARRERAS DE ECONOMÍA DE LA UNIVERSIDAD SAN IGNACIO DE LOYOLA
5.TRABAJÉ COMO VICE MINISTRO DE MICRO Y PEQUEÑAS EMPRESAS (MYPE) E INDUSTRIA EN EL MINISTERIO DE LA PRODUCCIÓN 
6.TRABAJÉ COMO ECONOMISTA DE INTEGRACIÓN Y COMERCIO EN EL BANCO INTERAMERICANO DE DESARROLLO 
7.TRABAJÉ COMO PROFESOR ADJUNTO DE LA  UNIVERSITY OF MARYLAND  Y DE GEORGETOWN UNIVERSITY 
8.PRESTE ASESORÍA PROFESIONAL-ACADÉMICA CONSISTENTE EN LA COMPILACIÓN, PROCESAMIENTO Y ANÁLISIS DE LA LITERATURA SOBRE COOPERACIÓN INTERNACIONAL CON FRANCISCO SAGASTI.
9. CUENTO CON LAS  SIGUIENTES DISTINCIONES ACADÉMICAS:
(I) STANFORD UNIVERSITY, CENTER ON DEMOCRACY, DEVELOPMENT AND THE RULE OF LAW; NOMBRADO DRAPER HILLS FELLOW.
(II)UNIVERSITY OF MARYLAND, ANN G. WYLIE DISSERTATION FELLOWSHIP, PREMIO OTORGADO POR LA OFICINA DEL PRESIDENTE DE LA UNIVERSIDAD, A LAS MAS DISTINGUIDAS PROPUESTAS DE DOCTORADO EN TODAS LAS AREAS ACADÉMICAS 
(III)UNIVERSITY OF MARYLAND, MARYLAND SCHOOL OF PUBLIC POLICY FELLOWSHIP, BECA COMPLETA .
10. CONSTITUÍ QUIPU CONSULTING GROUP S.A.C. SIENDO TITULAR DE 200 ACCIONES.",1,,2021-03-14 14:20:15
1,132743,135686,"1)TRABAJÉ COMO CONSULTORA PARA EL MINISTERIO DE EDUCACIÓN-UNIDAD EJECUTORA 024 DURANTE EL 2017.
2)TRABAJÉ COMO DIRECTORA DE LA DIRECCIÓN REGIONAL DE EDUCACIÓN DE LIMA METROPOLITANA  DESDE EL 2014 HAASTA EL 2015.
3)TRABAJÉ COMO DIRECTORA DE LA DIRECCIÓN DE EDUCACIÓN PRIMARIA DEL MINISTERIO DE EDUCACIÓN DESDE EL 2011 HASTA EL 2014.",1,,2021-03-14 14:20:15
1,133454,136564,,2,,2021-03-14 14:20:15
1,130456,134382,"COINSA S.R.L. GERENTE  

RUC 20397324169

2014 BAJA
2020 ACTIVA",1,,2021-03-14 14:20:15
1,130392,134372,,2,,2021-03-14 14:20:15
1,132909,134453,PODER POR ESCRITURA PUBLICA OTORGADO POR SU MADRE ESPERANZA CONSUELO FLORES ACUÑA A FAVOR DEL DECLARANTE.,1,,2021-03-14 14:20:15
1,130218,134127,"SE PRECISA QUE EL DOCUMENTO EN EL QUE CONSTE EL GRADO ACADEMICO DE MAGISTER AUN NO HA SIDO ENTREGADO POR LAS UNIVERSIDAD DE CHILE, POR TRAMITES ADMINISTRATIVOS",1,,2021-03-14 14:20:15
1,130217,134124,,2,,2021-03-14 14:20:15
1,130006,133886,,2,,2021-03-14 14:20:15
1,130282,134119,"INFORMADO EN FOJA ADICIONAL - BIENES INMUEBLES

CTA.  CTE. $ EN BANK OF AMERICA USA. SALDO APROX. $ 5000 (CTA. N° 385023082380 - 98% ACCIONES EN RIAISA SAC - INSCRITA EN PE N°11146041. ZONA REGISTRADO EN HUANCAYO - VALOR APROX S/969,220",1,,2021-03-14 14:20:15
1,130528,134120,"DECLARO QUE CUENTO CON LAS SIGUIENTES PROPIEDADES SIN TITULO EN LAS SIGUIENTES DIRECCIONES:

1.- JR. TIAHUANACO 766 URB ZARATE - SAN JUAN DE LURIGANCHO, VALOR DE S/. 300 000
2.- PACHACUTEC-VENTANILLA CALLAO, VALOR DE S/.100 000",1,,2021-03-14 14:20:15
1,130278,134121,"POSEO EL 69% DE ACCCIONES DE LA CORPORACIÓN ZOLLA SAC CON RUC 20601751900 EQUIVALENTE A S/ 1998,099.0",1,,2021-03-14 14:20:15
